,CVE_ART,DESCR,PRECIO_UNITARIO,COSTO_UNITARIO
65,TUA00258,"TUB INOX 7/16""Øx190mm 2000W 400V BUS/LAT",2177.5,272.65
66,BN00236,BAN INOX 58MMØX30MM 200W 230V EX1MT ALLE,505.23,161.63
67,BN00237,BAN INOX 122MMØX50MM 750W460V EXT1MT STD,985.1,105.68
68,TUA00364,"TUB INOX 7/16""ØX742MM U 20KW440V BRIDA6""",2644.28,0.0
69,BP00245,BAN P COMUN 100CMX21MM 900W220V T/TOR,522.0,51.38
70,BP00244,BAN P INOX 28MMX128MM 125W 230V T/TOR,255.01,291.72
71,PK31B1I1A000,"TER K 3/16""ØX1 1/2"" EXT.7MT MALLA Z/ESPA",551.25,0.0
72,BP00051,BAN P A/COMUN 200MMx102MM 390W127V T/TOR,364.55,52.48
73,TUA00400,"TUB INOX 7/16""ØX210MM 800W127V ""U""  BUSH",662.0,139.82
74,ECQ-00972,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V""",1475.3,275.5
75,TU5/16X230MM,"TUBULAR  J"" 5/16"" 230MM 4500W 220V""",999.91,200.3
76,TUE00146,TUB ESP 10MMØX1985MM 1000W 440V BUS/SOPO,1450.0,372.67
77,BO00054,BOB 8020 CAL. 13 13.7MMØX1.5MTS GAZA30CM,1450.0,360.5
78,BO00055,"BOB 8020 CAL.13 13.7MMØX800MM ""U""GAZ30CM",1450.0,337.97
79,70001693,CARTUCHO 8MMØ X290MM 500W 220V,415.0,113.47
80,TP0004,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2.5 MT,272.0,77.13
81,BE00010,BAN INOX 103MMØX45MMØX65MM 400W255V ESP,1025.87,0.0
82,BL00011,BAN M/L INOX 210mmØx70mm 650W 255V CABLE,1587.25,0.0
83,BL00052,BAN M/LUNA 210MMØX70MM 1.6KW255V CLA-STD,2985.36,0.0
84,TUS00086,"TUB INOX 5/16""Øx120MTS LONG. 1000W 120V.",566.64,85.89
85,TEA00058,"TER J 1/8""Øx115mm LONG EXT. DE 1220mm CL",431.5,95.96
86,TEA00059,"TER J 3/16""Øx8mm EXT. .90CMS CLAVIJA",528.3,131.65
87,TEE00026,TER K 12MMØX22CM EXT8MT MAQ-ESPECIAL,1880.28,0.0
88,TP0003,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT,150.0,71.25
89,TP0001,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,98.0,38.96
90,TUA00410,"TUB INOX 7/16""ØX500MM 3000W240V BUS3/4""",830.25,363.33
91,CS14B1010A00,"CAS INOX 1/4""ØX1 1/4"" 100W 127V EXT.30CM",473.28,27.08
92,TUA00350,"TUB INOX 7/16""ØX280MM ""U"" 9000W260V PLAC",1659.6,436.54
93,TP0001,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,107.76,38.96
94,PK18J1F1A400,"TER K 1/8""ØX15CM EXT2MT MALLA INOX  ZAP",499.0,113.22
95,RP00176,REPARACION DE SOLDADURA A PLACAS TUBULAR,900.0,0.0
96,TUS00064,"TUB INOX 1/2""Øx500mm LONG ""U"" 2000W 220V",1189.0,0.0
97,TUA00078,"TUB INOX 5/16""Øx320mm 4000W 230V TAPON",1435.0,0.0
